qsort:  0.022 ,Sort: 0.079 ,Merge: 0.58
qsort:  0.029 ,Sort: 0.079 ,Merge: 0.535
qsort:  0.042 ,Sort: 0.06 ,Merge: 0.475
qsort:  0.045 ,Sort: 0.085 ,Merge: 0.654
qsort:  0.049 ,Sort: 0.063 ,Merge: 0.493
qsort:  0.023 ,Sort: 0.071 ,Merge: 0.61
qsort:  0.023 ,Sort: 0.067 ,Merge: 0.604
qsort:  0.032 ,Sort: 0.08 ,Merge: 0.471
qsort:  0.042 ,Sort: 0.047 ,Merge: 0.582
qsort:  0.018 ,Sort: 0.049 ,Merge: 0.549
qsort:  0.029 ,Sort: 0.081 ,Merge: 0.566
qsort:  0.039 ,Sort: 0.055 ,Merge: 0.489
qsort:  0.03 ,Sort: 0.049 ,Merge: 0.568
qsort:  0.028 ,Sort: 0.063 ,Merge: 0.568
qsort:  0.04 ,Sort: 0.094 ,Merge: 0.779
qsort:  0.05 ,Sort: 0.102 ,Merge: 0.591
qsort:  0.049 ,Sort: 0.09 ,Merge: 0.582
qsort:  0.045 ,Sort: 0.082 ,Merge: 0.55
qsort:  0.039 ,Sort: 0.073 ,Merge: 0.647
qsort:  0.043 ,Sort: 0.083 ,Merge: 0.48
qsort:  0.027 ,Sort: 0.054 ,Merge: 0.566
qsort:  0.04 ,Sort: 0.062 ,Merge: 0.581
qsort:  0.03 ,Sort: 0.092 ,Merge: 0.582
qsort:  0.026 ,Sort: 0.084 ,Merge: 0.51
qsort:  0.043 ,Sort: 0.07 ,Merge: 0.74
qsort:  0.031 ,Sort: 0.072 ,Merge: 0.692
qsort:  0.023 ,Sort: 0.049 ,Merge: 0.748
qsort:  0.03 ,Sort: 0.042 ,Merge: 0.711
qsort:  0.043 ,Sort: 0.089 ,Merge: 0.664
qsort:  0.052 ,Sort: 0.082 ,Merge: 0.611
qsort:  0.051 ,Sort: 0.073 ,Merge: 0.619
qsort:  0.025 ,Sort: 0.081 ,Merge: 0.646
qsort:  0.041 ,Sort: 0.089 ,Merge: 0.756
qsort:  0.029 ,Sort: 0.064 ,Merge: 0.674
qsort:  0.03 ,Sort: 0.053 ,Merge: 0.58
qsort:  0.029 ,Sort: 0.055 ,Merge: 0.771
qsort:  0.05 ,Sort: 0.094 ,Merge: 0.637
qsort:  0.03 ,Sort: 0.047 ,Merge: 0.643
qsort:  0.04 ,Sort: 0.085 ,Merge: 0.663
qsort:  0.042 ,Sort: 0.049 ,Merge: 0.542
qsort:  0.04 ,Sort: 0.09 ,Merge: 0.618
qsort:  0.028 ,Sort: 0.052 ,Merge: 0.664
qsort:  0.042 ,Sort: 0.049 ,Merge: 0.81
qsort:  0.046 ,Sort: 0.086 ,Merge: 0.698
qsort:  0.051 ,Sort: 0.062 ,Merge: 0.557
qsort:  0.023 ,Sort: 0.072 ,Merge: 0.784
qsort:  0.045 ,Sort: 0.09 ,Merge: 0.856
qsort:  0.031 ,Sort: 0.09 ,Merge: 0.712
qsort:  0.043 ,Sort: 0.092 ,Merge: 0.76
qsort:  0.048 ,Sort: 0.089 ,Merge: 0.621
qsort:  0.033 ,Sort: 0.058 ,Merge: 0.6
qsort:  0.03 ,Sort: 0.053 ,Merge: 0.876
qsort:  0.039 ,Sort: 0.069 ,Merge: 0.602
qsort:  0.042 ,Sort: 0.061 ,Merge: 0.679
qsort:  0.03 ,Sort: 0.056 ,Merge: 0.692
qsort:  0.042 ,Sort: 0.087 ,Merge: 0.749
qsort:  0.057 ,Sort: 0.09 ,Merge: 0.74
qsort:  0.047 ,Sort: 0.056 ,Merge: 0.621
qsort:  0.026 ,Sort: 0.054 ,Merge: 0.596
qsort:  0.03 ,Sort: 0.097 ,Merge: 0.917
qsort:  0.045 ,Sort: 0.066 ,Merge: 0.58
qsort:  0.042 ,Sort: 0.109 ,Merge: 0.974
qsort:  0.039 ,Sort: 0.106 ,Merge: 0.94
qsort:  0.047 ,Sort: 0.07 ,Merge: 0.807
qsort:  0.038 ,Sort: 0.068 ,Merge: 0.842
qsort:  0.032 ,Sort: 0.097 ,Merge: 0.857
qsort:  0.05 ,Sort: 0.096 ,Merge: 0.787
qsort:  0.05 ,Sort: 0.113 ,Merge: 0.828
qsort:  0.052 ,Sort: 0.099 ,Merge: 0.967
qsort:  0.041 ,Sort: 0.097 ,Merge: 0.922
qsort:  0.032 ,Sort: 0.088 ,Merge: 0.88
qsort:  0.031 ,Sort: 0.062 ,Merge: 0.928
qsort:  0.047 ,Sort: 0.111 ,Merge: 0.912
qsort:  0.058 ,Sort: 0.098 ,Merge: 0.948
qsort:  0.05 ,Sort: 0.107 ,Merge: 0.86
qsort:  0.045 ,Sort: 0.087 ,Merge: 0.932
qsort:  0.055 ,Sort: 0.089 ,Merge: 0.787
qsort:  0.028 ,Sort: 0.069 ,Merge: 0.949
qsort:  0.033 ,Sort: 0.097 ,Merge: 0.893
qsort:  0.04 ,Sort: 0.116 ,Merge: 0.953
qsort:  0.041 ,Sort: 0.108 ,Merge: 0.819
qsort:  0.035 ,Sort: 0.072 ,Merge: 1.157
qsort:  0.057 ,Sort: 0.09 ,Merge: 0.842
qsort:  0.05 ,Sort: 0.099 ,Merge: 0.843
qsort:  0.056 ,Sort: 0.11 ,Merge: 0.85
qsort:  0.028 ,Sort: 0.099 ,Merge: 0.84
qsort:  0.053 ,Sort: 0.07 ,Merge: 1.02
qsort:  0.054 ,Sort: 0.089 ,Merge: 0.789
qsort:  0.048 ,Sort: 0.06 ,Merge: 1.072
qsort:  0.033 ,Sort: 0.09 ,Merge: 0.821
qsort:  0.052 ,Sort: 0.101 ,Merge: 0.96
qsort:  0.031 ,Sort: 0.125 ,Merge: 0.692
qsort:  0.055 ,Sort: 0.063 ,Merge: 1.047
qsort:  0.055 ,Sort: 0.052 ,Merge: 0.887
qsort:  0.061 ,Sort: 0.112 ,Merge: 1.197
qsort:  0.041 ,Sort: 0.09 ,Merge: 1.081
qsort:  0.05 ,Sort: 0.089 ,Merge: 1.071
qsort:  0.061 ,Sort: 0.09 ,Merge: 0.902
qsort:  0.03 ,Sort: 0.113 ,Merge: 1.027
qsort:  0.062 ,Sort: 0.081 ,Merge: 0.927
qsort:  0.063 ,Sort: 0.111 ,Merge: 0.9
qsort:  0.062 ,Sort: 0.067 ,Merge: 1.07
qsort:  0.06 ,Sort: 0.134 ,Merge: 1.072
qsort:  0.057 ,Sort: 0.086 ,Merge: 1.149
qsort:  0.03 ,Sort: 0.109 ,Merge: 0.96
qsort:  0.042 ,Sort: 0.07 ,Merge: 0.909
qsort:  0.024 ,Sort: 0.072 ,Merge: 1.066
qsort:  0.032 ,Sort: 0.081 ,Merge: 0.998
qsort:  0.059 ,Sort: 0.058 ,Merge: 1.124
qsort:  0.043 ,Sort: 0.103 ,Merge: 0.95
qsort:  0.063 ,Sort: 0.078 ,Merge: 1.018
qsort:  0.036 ,Sort: 0.123 ,Merge: 1.073
qsort:  0.031 ,Sort: 0.105 ,Merge: 1.06
qsort:  0.028 ,Sort: 0.097 ,Merge: 1.063
qsort:  0.067 ,Sort: 0.057 ,Merge: 0.837
qsort:  0.035 ,Sort: 0.073 ,Merge: 1.236
qsort:  0.059 ,Sort: 0.12 ,Merge: 1.103
qsort:  0.028 ,Sort: 0.089 ,Merge: 1.118
qsort:  0.036 ,Sort: 0.124 ,Merge: 1.255
qsort:  0.033 ,Sort: 0.115 ,Merge: 0.763
qsort:  0.038 ,Sort: 0.119 ,Merge: 0.926
qsort:  0.033 ,Sort: 0.055 ,Merge: 1.002
qsort:  0.05 ,Sort: 0.102 ,Merge: 1.15
qsort:  0.049 ,Sort: 0.112 ,Merge: 1.353
qsort:  0.06 ,Sort: 0.122 ,Merge: 1.223
qsort:  0.029 ,Sort: 0.114 ,Merge: 1.179
qsort:  0.06 ,Sort: 0.119 ,Merge: 1.241
qsort:  0.06 ,Sort: 0.09 ,Merge: 1.112
qsort:  0.055 ,Sort: 0.09 ,Merge: 1.121
qsort:  0.058 ,Sort: 0.123 ,Merge: 1.232
qsort:  0.06 ,Sort: 0.116 ,Merge: 1.28
qsort:  0.046 ,Sort: 0.096 ,Merge: 1.199
qsort:  0.063 ,Sort: 0.077 ,Merge: 1.194
qsort:  0.06 ,Sort: 0.058 ,Merge: 1.25
qsort:  0.061 ,Sort: 0.07 ,Merge: 1.254
qsort:  0.062 ,Sort: 0.105 ,Merge: 1.312
qsort:  0.03 ,Sort: 0.09 ,Merge: 1.038
qsort:  0.059 ,Sort: 0.073 ,Merge: 1.203
qsort:  0.039 ,Sort: 0.119 ,Merge: 1.147
qsort:  0.052 ,Sort: 0.092 ,Merge: 1.343
qsort:  0.06 ,Sort: 0.088 ,Merge: 1.207
qsort:  0.042 ,Sort: 0.116 ,Merge: 1.225
qsort:  0.066 ,Sort: 0.119 ,Merge: 1.274
qsort:  0.058 ,Sort: 0.121 ,Merge: 1.186
qsort:  0.065 ,Sort: 0.09 ,Merge: 1.451
qsort:  0.069 ,Sort: 0.136 ,Merge: 1.41
qsort:  0.061 ,Sort: 0.084 ,Merge: 1.2
qsort:  0.064 ,Sort: 0.123 ,Merge: 1.041
qsort:  0.061 ,Sort: 0.078 ,Merge: 1.318
qsort:  0.062 ,Sort: 0.126 ,Merge: 0.994
qsort:  0.034 ,Sort: 0.079 ,Merge: 1.381
qsort:  0.048 ,Sort: 0.093 ,Merge: 1.443
qsort:  0.045 ,Sort: 0.1 ,Merge: 1.401
qsort:  0.053 ,Sort: 0.122 ,Merge: 1.289
